module_name,class_name,method_name,startLine,CBM,IDMC,EDMC,m_FAN_IN,m_FAN_OUT,IsOverride,OverridedQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifiers
com.ctrip.framework.apollo.adminservice,com.ctrip.framework.apollo.adminservice.AdminServiceApplication,com.ctrip.framework.apollo.adminservice.AdminServiceApplication,27,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo.adminservice,com.ctrip.framework.apollo.adminservice.AdminServiceHealthIndicator,com.ctrip.framework.apollo.adminservice.AdminServiceHealthIndicator,26,1,0,1,0,1,False,0,1,0,0,0,0,2
com.ctrip.framework.apollo,com.ctrip.framework.apollo.ConfigServiceTest,com.ctrip.framework.apollo.ConfigServiceTest,68,1,1,0,0,1,False,0,3,0,0,0,0,1
com.ctrip.framework.apollo,com.ctrip.framework.apollo.LocalConfigServiceApplication,com.ctrip.framework.apollo.LocalConfigServiceApplication,10,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo,com.ctrip.framework.apollo.LocalAdminServiceApplication,com.ctrip.framework.apollo.LocalAdminServiceApplication,10,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo,com.ctrip.framework.apollo.BaseIntegrationTest,com.ctrip.framework.apollo.BaseIntegrationTest,135,1,0,1,1,0,False,0,0,0,0,0,0,4
com.ctrip.framework.apollo,com.ctrip.framework.apollo.LocalPortalApplication,com.ctrip.framework.apollo.LocalPortalApplication,8,0,0,0,0,0,False,0,0,0,0,0,0,0
com.ctrip.framework.apollo,com.ctrip.framework.apollo.ConfigService,com.ctrip.framework.apollo.ConfigService,73,0,0,0,0,0,False,0,2,1,0,0,1,8
com.ctrip.framework.apollo.adminservice.aop,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockAspect,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockAspect,46,1,0,1,0,1,False,0,2,1,0,0,0,1
com.ctrip.framework.apollo.adminservice.aop,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockTest,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockTest,142,2,0,2,0,2,False,0,2,0,0,0,0,2
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ReleaseController,com.ctrip.framework.apollo.adminservice.controller.ReleaseController,96,6,1,5,1,5,False,0,7,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ItemSetControllerTest,com.ctrip.framework.apollo.adminservice.controller.ItemSetControllerTest,28,8,0,8,0,8,False,0,14,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ItemController,com.ctrip.framework.apollo.adminservice.controller.ItemController,105,8,0,8,0,8,False,0,17,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ControllerExceptionTest,com.ctrip.framework.apollo.adminservice.controller.ControllerExceptionTest,88,2,0,2,0,2,False,0,6,0,0,0,0,2
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ClusterController,com.ctrip.framework.apollo.adminservice.controller.ClusterController,77,1,0,1,0,1,False,0,1,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigControllerTest,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigControllerTest,264,3,1,2,0,3,False,0,5,2,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.IndexController,com.ctrip.framework.apollo.adminservice.controller.IndexController,10,0,0,0,0,0,False,0,0,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.AppController,com.ctrip.framework.apollo.adminservice.controller.AppController,80,1,0,1,0,1,False,0,1,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController,com.ctrip.framework.apollo.adminservice.controller.InstanceConfigController,99,8,1,7,1,7,False,0,17,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ItemSetController,com.ctrip.framework.apollo.adminservice.controller.ItemSetController,22,1,0,1,0,1,False,0,1,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.TestWebSecurityConfig,com.ctrip.framework.apollo.adminservice.controller.TestWebSecurityConfig,24,0,0,0,0,0,False,0,0,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.NamespaceLockController,com.ctrip.framework.apollo.adminservice.controller.NamespaceLockController,28,5,0,5,0,5,False,0,5,0,0,0,0,1
com.ctrip.framework.apollo.adminservice.controller,com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest,com.ctrip.framework.apollo.adminservice.controller.ReleaseControllerTest,46,4,0,4,0,4,False,0,9,0,0,0,0,1
